Country,Return period,Subsystem,Infrastructure type,Curve ID number,Damage ID number,Damage
JAM,P_1in50,road,primary,F7.1,909.3454827565133,44278885.94165449
JAM,P_1in50,road,secondary,F7.1,909.3454827565133,47364030.14625165
JAM,P_1in50,road,tertiary,F7.1,909.3454827565133,489666812.8877882
JAM,P_1in100,road,primary,F7.1,909.3454827565133,54517849.54354566
JAM,P_1in100,road,secondary,F7.1,909.3454827565133,55588639.45744863
JAM,P_1in100,road,tertiary,F7.1,909.3454827565133,584069221.0938728
JAM,P_1in5,road,primary,F7.1,909.3454827565133,13017935.708174605
JAM,P_1in5,road,secondary,F7.1,909.3454827565133,20808508.103622425
JAM,P_1in5,road,tertiary,F7.1,909.3454827565133,194789764.8795817
JAM,P_1in10,road,primary,F7.1,909.3454827565133,20252337.43892829
JAM,P_1in10,road,secondary,F7.1,909.3454827565133,28511648.892628454
JAM,P_1in10,road,tertiary,F7.1,909.3454827565133,275262511.2337341
JAM,P_1in250,road,primary,F7.1,909.3454827565133,66654024.21243375
JAM,P_1in250,road,secondary,F7.1,909.3454827565133,66877701.1946637
JAM,P_1in250,road,tertiary,F7.1,909.3454827565133,703154530.7693142
JAM,P_1in200,road,primary,F7.1,909.3454827565133,64417404.126955375
JAM,P_1in200,road,secondary,F7.1,909.3454827565133,64894814.88424343
JAM,P_1in200,road,tertiary,F7.1,909.3454827565133,679755503.7496835
JAM,P_1in75,road,primary,F7.1,909.3454827565133,49764681.44426687
JAM,P_1in75,road,secondary,F7.1,909.3454827565133,51633057.16536479
JAM,P_1in75,road,tertiary,F7.1,909.3454827565133,538021968.4551182
JAM,P_1in500,road,primary,F7.1,909.3454827565133,79024361.04324056
JAM,P_1in500,road,secondary,F7.1,909.3454827565133,78901638.79579544
JAM,P_1in500,road,tertiary,F7.1,909.3454827565133,817417777.2474142
JAM,P_1in20,road,primary,F7.1,909.3454827565133,29377216.955466524
JAM,P_1in20,road,secondary,F7.1,909.3454827565133,36164949.36082251
JAM,P_1in20,road,tertiary,F7.1,909.3454827565133,352792596.0374497
JAM,P_1in1000,road,primary,F7.1,909.3454827565133,91124432.71620381
JAM,P_1in1000,road,secondary,F7.1,909.3454827565133,88843180.2455276
JAM,P_1in1000,road,tertiary,F7.1,909.3454827565133,924245866.6824881
